#x/b    y/b     z/b     U       V       W       SigmaU  SigmaV  SigmaW  k
-0.750  0.000  1.250  1.514  0.091  0.061  0.601  0.624  0.537  0.519 
-0.750  -0.250  1.250  1.595  -0.718  0.185  0.594  0.602  0.543  0.505 
-0.750  -0.500  1.250  2.345  -1.418  0.296  0.653  0.658  0.531  0.571 
-0.750  -0.625  1.250  2.921  -1.438  0.289  0.729  0.658  0.515  0.615 
-0.750  -0.875  1.250  3.666  -1.112  0.244  0.778  0.648  0.493  0.634 
-0.750  -1.125  1.250  4.009  -0.781  0.185  0.786  0.638  0.490  0.632 
-0.750  -1.500  1.250  4.191  -0.494  0.123  0.774  0.602  0.483  0.597 
-0.750  -2.000  1.250  4.389  -0.286  0.110  0.764  0.598  0.478  0.585 


-0.500  -0.625  1.250  3.629  -2.841  0.196  0.854  0.874  0.736  1.017 
-0.500  -0.875  1.250  4.118  -1.428  0.194  0.781  0.752  0.520  0.723 
-0.500  -1.125  1.250  4.258  -0.871  0.168  0.777  0.660  0.501  0.645 
-0.500  -1.500  1.250  4.350  -0.517  0.096  0.775  0.601  0.490  0.601 
-0.500  -2.000  1.250  4.417  -0.294  0.091  0.782  0.608  0.491  0.611 


-0.250  -0.625  1.250  0.504  -0.245  0.278  2.020  0.748  0.836  2.669 
-0.250  -0.875  1.250  4.815  -1.233  0.086  0.974  0.836  0.596  1.001 
-0.250  -1.125  1.250  4.636  -0.763  0.137  0.772  0.690  0.506  0.664 
-0.250  -1.500  1.250  4.419  -0.467  0.088  0.761  0.617  0.489  0.599 
-0.250  -2.000  1.250  4.466  -0.278  0.089  0.782  0.604  0.485  0.606 


0.000  -0.625  1.250  0.003  -0.045  0.078  1.915  0.929  0.897  2.667 
0.000  -0.875  1.250  4.447  -0.491  0.092  1.729  0.694  0.739  2.009 
0.000  -1.125  1.250  4.848  -0.552  0.068  0.833  0.732  0.519  0.750 
0.000  -1.500  1.250  4.604  -0.343  0.079  0.766  0.635  0.494  0.617 
0.000  -2.000  1.250  4.544  -0.236  0.083  0.765  0.613  0.494  0.603 


0.500  -0.625  1.250  0.883  -0.147  0.134  1.968  1.104  1.024  3.070 
0.500  -0.875  1.250  3.095  0.171  0.009  2.175  0.951  0.860  3.187 
0.500  -1.125  1.250  4.644  -0.068  0.019  1.189  0.699  0.652  1.164 
0.500  -1.500  1.250  4.728  -0.125  -0.007  0.760  0.640  0.488  0.613 
0.500  -2.000  1.250  4.558  -0.138  -0.005  0.733  0.600  0.483  0.565 


0.750  0.000  1.250  -0.466  -0.055  0.370  0.594  0.703  0.544  0.571 
0.750  -0.250  1.250  -0.347  -0.289  0.446  0.630  0.708  0.585  0.620 
0.750  -0.500  1.250  0.736  0.021  0.378  1.304  0.954  0.794  1.620 
0.750  -0.625  1.250  1.705  0.086  0.184  1.842  1.021  0.946  2.665 
0.750  -0.875  1.250  3.315  0.250  -0.031  1.944  0.967  0.854  2.722 
0.750  -1.125  1.250  4.442  0.144  -0.044  1.240  0.737  0.634  1.241 
0.750  -1.500  1.250  4.698  -0.009  -0.011  0.775  0.626  0.488  0.615 
0.750  -2.000  1.250  4.578  -0.064  -0.017  0.752  0.602  0.478  0.578 


1.250  0.000  1.250  -0.384  -0.182  -0.128  0.787  1.067  0.819  1.214 
1.250  -0.250  1.250  0.081  0.220  -0.132  1.057  1.141  0.860  1.579 
1.250  -0.500  1.250  1.595  0.523  -0.117  1.689  1.083  0.951  2.465 
1.250  -0.625  1.250  2.278  0.559  -0.135  1.851  0.984  0.965  2.663 
1.250  -0.875  1.250  3.373  0.507  -0.128  1.804  0.904  0.820  2.372 
1.250  -1.125  1.250  4.166  0.364  -0.097  1.322  0.736  0.664  1.365 
1.250  -1.500  1.250  4.625  0.168  -0.052  0.828  0.618  0.495  0.656 
1.250  -2.000  1.250  4.631  0.044  -0.031  0.734  0.582  0.484  0.556 


2.000  0.000  1.250  0.997  -0.057  -0.312  1.020  1.287  0.946  1.796 
2.000  -0.250  1.250  1.402  0.307  -0.343  1.244  1.305  0.955  2.081 
2.000  -0.500  1.250  2.208  0.514  -0.305  1.533  1.126  0.923  2.235 
2.000  -0.625  1.250  2.663  0.530  -0.263  1.622  1.022  0.903  2.245 
2.000  -0.875  1.250  3.387  0.523  -0.184  1.473  0.853  0.759  1.737 
2.000  -1.125  1.250  3.941  0.410  -0.153  1.266  0.719  0.652  1.272 
2.000  -1.500  1.250  4.446  0.266  -0.083  0.903  0.620  0.517  0.734 
2.000  -2.000  1.250  4.567  0.111  -0.081  0.751  0.575  0.494  0.569 


3.250  0.000  1.250  2.533  0.036  -0.311  0.960  1.097  0.830  1.407 
3.250  -0.250  1.250  2.666  0.167  -0.295  1.055  1.092  0.788  1.463 
3.250  -0.500  1.250  2.942  0.208  -0.243  1.151  0.991  0.752  1.436 
3.250  -0.625  1.250  3.168  0.278  -0.243  1.193  0.925  0.748  1.419 
3.250  -0.875  1.250  3.467  0.294  -0.162  1.195  0.835  0.687  1.299 
3.250  -1.125  1.250  3.718  0.245  -0.131  1.115  0.748  0.604  1.084 
3.250  -1.500  1.250  4.105  0.226  -0.090  0.934  0.632  0.521  0.772 
3.250  -2.000  1.250  4.325  0.122  -0.071  0.770  0.562  0.494  0.576 
