Point,U[m/s],V[m/s],W[m/s],k[m2/s2],Vs/UH,Vs_mod[m/s],Vs_mod/UH,Vs_exp/UH,((Vs_mod-Vs_exp)/UH)^2
1,0.7795,-0.009,0.022,0.0739,0.178458199,0.869474123,0.199 ,0.195 ,1.66228E-05
2,0.7714,0.0095,0.0212,0.0741,0.17660177,0.862437041,0.197 ,0.195 ,6.08508E-06
3,0.6426,0.0922,0.0433,0.0628,0.148884017,0.740884937,0.170 ,0.197 ,0.000729133
4,0.6364,-0.0922,0.0429,0.063,0.147476794,0.735762333,0.168 ,0.197 ,0.000793813
5,-0.5369,1.2309,0.1978,0.1247,0.310615025,1.446340645,0.331 ,0.352 ,0.00044351
6,-0.4221,1.2379,0.1462,0.1392,0.301151404,1.417864331,0.324 ,0.370 ,0.002053935
7,-0.1369,0.9303,0.121,0.2124,0.216950136,1.15049585,0.263 ,0.358 ,0.008953583
8,-0.6196,0.8186,0.1364,0.3491,0.236995725,1.33071976,0.305 ,0.454 ,0.022477074
9,-0.9244,0.3651,0.0964,0.4467,0.228501629,1.374956847,0.315 ,0.455 ,0.019755015
10,-0.9235,-0.3553,0.0943,0.448,0.227453834,1.37258254,0.314 ,0.455 ,0.01990804
11,-0.6206,-0.8152,0.1342,0.3507,0.236452663,1.33007708,0.304 ,0.454 ,0.022521193
12,-0.1388,-0.9292,0.1194,0.214,0.216719961,1.151057966,0.263 ,0.358 ,0.008929257
13,-0.4225,-1.2374,0.147,0.1398,0.301093561,1.418052894,0.324 ,0.370 ,0.002050025
14,-0.5364,-1.2309,0.1979,0.1234,0.310573123,1.445269587,0.331 ,0.352 ,0.000453893
15,-0.6302,1.1192,-0.2131,0.1575,0.297937717,1.417805449,0.324 ,0.298 ,0.000696722
16,-0.4488,0.9412,-0.096,0.1825,0.23961934,1.208923025,0.277 ,0.316 ,0.001520819
17,-0.138,1.1654,-0.0352,0.5913,0.268665888,1.600325029,0.366 ,0.342 ,0.000610255
18,-0.3134,1.3878,-0.2723,0.9572,0.3314806,2.003186384,0.458 ,0.305 ,0.023680216
19,-0.7567,0.5734,-0.3433,1.0309,0.231023536,1.755288392,0.402 ,0.242 ,0.025556279
20,-0.7547,-0.5722,-0.3419,1.0287,0.230415641,1.75250693,0.401 ,0.242 ,0.025353181
21,-0.3078,-1.3841,-0.2697,0.9583,0.330282277,1.999952934,0.458 ,0.305 ,0.02345304
22,-0.1328,-1.1644,-0.037,0.5919,0.268314048,1.599572505,0.366 ,0.342 ,0.000601777
23,-0.4485,-0.9459,-0.098,0.1839,0.240599438,1.213788721,0.278 ,0.316 ,0.001435216
24,-0.631,-1.1262,-0.2132,0.1583,0.299407756,1.424268823,0.326 ,0.298 ,0.000776989
25,1.2198,1.1915,0.0092,0.878,0.390203393,2.159552947,0.494 ,0.492 ,5.27702E-06
26,1.1166,2.3826,-0.5242,0.7653,0.613953478,2.954482012,0.676 ,,0.457088007
27,-0.3245,0.8534,-0.6747,0.1591,0.259784558,1.267679731,0.290 ,,0.084150407
28,-0.3252,-0.8579,-0.674,0.1589,0.260510356,1.270363511,0.291 ,,0.08450709
29,1.1129,-2.3851,-0.5246,0.7609,0.614127856,2.953684746,0.676 ,,0.45684135
30,1.2214,-1.1919,0.0108,0.875,0.390531455,2.15929623,0.494 ,0.492 ,5.01057E-06
31,2.5173,0.7363,0.0203,0.6963,0.600194811,2.876099628,0.658 ,0.660 ,4.64137E-06
32,1.3838,0.2304,-0.1219,0.0912,0.322227854,1.47147756,0.337 ,,0.113382078
33,1.3822,-0.2305,-0.1243,0.0907,0.321919866,1.469849509,0.336 ,,0.113131324
34,2.5163,-0.7365,0.0212,0.693,0.599989675,2.874134197,0.658 ,0.660 ,6.78154E-06
35,2.7152,0.2932,0.0285,0.4757,0.624973313,2.9000844,0.664 ,0.735 ,0.005141388
36,1.3817,0.0244,0.0031,0.0781,0.316228582,1.437323854,0.329 ,,0.108179854
37,1.3824,-0.0245,0.0024,0.0779,0.316388826,1.437858049,0.329 ,,0.108260282
38,2.7148,-0.2927,0.0286,0.4744,0.624870279,2.899212012,0.663 ,0.735 ,0.005170056
39,2.543,0.0428,0.0451,0.3532,0.582096106,2.679013783,0.613 ,0.689 ,0.005841094
40,1.4656,-0.0504,0.0227,0.1081,0.335616023,1.538583378,0.352 ,,0.123959324
41,-0.2846,0.663,0.0365,0.0323,0.165314729,0.765831842,0.175 ,,0.030711708
42,-0.2818,-0.6908,0.0411,0.0299,0.170983561,0.786196598,0.180 ,,0.032366776
43,1.4719,0.052,0.021,0.1082,0.337063606,1.544679452,0.353 ,,0.124943557
44,2.5413,-0.0409,0.0452,0.3525,0.581700455,2.67711067,0.613 ,0.689 ,0.005907851
45,-0.0229,-0.2833,0.0564,0.018,0.06630798,0.346358571,0.079 ,0.171 ,0.008329859
46,-0.3772,-0.3068,0.1424,0.0296,0.11593587,0.562035444,0.129 ,0.140 ,0.00011961
47,1.9972,-0.362,0.1415,0.2716,0.465599097,2.164041148,0.495 ,0.627 ,0.017348412
48,1.702,-0.6503,0.0166,0.2225,0.416951576,1.94035297,0.444 ,0.625 ,0.032904812
49,-0.4499,-0.367,0.068,0.1963,0.13376906,0.85692649,0.196 ,0.474 ,0.077474866
50,-0.427,0.4152,0.0887,0.171,0.137792352,0.839397242,0.192 ,0.474 ,0.079723974
51,1.7032,0.6647,0.0159,0.2316,0.418393325,1.950940578,0.446 ,0.625 ,0.032031708
52,1.9882,0.3668,0.1432,0.2716,0.463802549,2.156661244,0.494 ,0.627 ,0.017796129
53,-0.3865,0.312,0.1441,0.0294,0.118351345,0.571218925,0.131 ,0.140 ,7.806E-05
54,-0.0286,0.2937,0.0588,0.0182,0.06885366,0.356279511,0.082 ,0.171 ,0.007920613
55,-0.5137,-0.947,0.0759,0.1464,0.24714568,1.20799731,0.276 ,0.298 ,0.000480323
56,-0.4473,-0.8957,0.1018,0.1139,0.230283619,1.113785895,0.255 ,0.264 ,7.90052E-05
57,0.3011,-0.561,0.1063,0.2575,0.147713735,0.965236707,0.221 ,0.461 ,0.057467375
58,1.34,-1.0755,0.1133,0.2723,0.394040585,1.873429246,0.429 ,0.543 ,0.012962744
59,-0.1105,-0.8103,0.2382,0.1711,0.194916193,1.033312915,0.236 ,0.405 ,0.028394394
60,-0.2164,0.7977,0.2546,0.1639,0.197907487,1.037195936,0.237 ,0.405 ,0.028095726
61,1.3147,1.0716,0.1169,0.2738,0.389044841,1.854192077,0.424 ,0.543 ,0.013984516
62,0.2842,0.5668,0.1049,0.2559,0.14706606,0.961683883,0.220 ,0.461 ,0.057857828
63,-0.4529,0.9018,0.1013,0.1132,0.232084828,1.120278242,0.256 ,0.264 ,5.48018E-05
64,-0.519,0.955,0.075,0.1454,0.24931358,1.2156525,0.278 ,0.298 ,0.000406608
65,-0.5791,-1.2115,-0.1317,0.0793,0.308749332,1.406781415,0.322 ,0.352 ,0.000888718
66,-0.4158,-1.0374,-0.0452,0.0581,0.25595878,1.169329483,0.268 ,0.314 ,0.002195388
67,-0.2472,-0.5151,0.2986,0.0393,0.147521455,0.702992041,0.161 ,0.395 ,0.054976463
68,0.4008,-0.2118,0.0199,0.2322,0.103834674,0.818716001,0.187 ,0.380 ,0.036998541
69,-0.1196,-0.4052,0.0875,0.1392,0.098729539,0.681577178,0.156 ,0.341 ,0.034367993
70,-0.2002,0.3038,0.0844,0.1182,0.085467757,0.613105081,0.140 ,0.341 ,0.040423008
71,0.3916,0.1731,0.0255,0.2313,0.09814891,0.804092296,0.184 ,0.380 ,0.038297094
72,-0.248,0.5073,0.2887,0.0394,0.145125017,0.693545226,0.159 ,0.395 ,0.055994866
73,-0.4189,1.0355,-0.0431,0.056,0.255801575,1.166874059,0.267 ,0.314 ,0.002248358
74,-0.5815,1.2127,-0.1319,0.0772,0.309236316,1.407331215,0.322 ,0.352 ,0.000881233
75,0.5668,0.1805,0.1411,0.0196,0.139897564,0.642613181,0.147 ,0.450 ,0.091823615
76,0.5213,-0.2318,0.1125,0.0173,0.133066151,0.610525331,0.140 ,0.450 ,0.096327597
77,0.1925,0.2027,0.1106,0.0071,0.0687931,0.323381972,0.074 ,0.450 ,0.141432208
78,0.122,-0.1968,0.1214,0.0078,0.059826667,0.28974506,0.066 ,0.450 ,0.147280925
