No,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW
1,0.18 ,0.18 ,0.26 ,0.26 ,0.22 ,0.28 ,0.22 ,0.16 ,0.16 ,0.20 ,0.16 ,0.36 ,0.38 ,0.36 ,0.42 ,0.24
2,0.59 ,0.63 ,0.73 ,1.07 ,1.37 ,1.33 ,0.61 ,0.28 ,0.50 ,0.65 ,0.69 ,0.61 ,0.55 ,0.32 ,0.30 ,0.57
3,0.38 ,0.46 ,0.55 ,0.81 ,0.95 ,0.99 ,0.75 ,0.32 ,0.48 ,0.71 ,0.79 ,0.63 ,0.55 ,0.36 ,0.30 ,0.44
4,0.32 ,0.40 ,0.59 ,0.75 ,0.77 ,0.79 ,0.67 ,0.38 ,0.50 ,0.87 ,0.99 ,0.81 ,0.67 ,0.50 ,0.44 ,0.42
5,0.30 ,0.52 ,0.57 ,0.54 ,0.59 ,0.61 ,0.55 ,0.50 ,0.44 ,0.91 ,1.11 ,0.81 ,0.65 ,0.55 ,0.38 ,0.26
6,0.34 ,0.42 ,0.42 ,0.44 ,0.44 ,0.46 ,0.55 ,0.55 ,0.48 ,0.61 ,0.99 ,0.75 ,0.63 ,0.48 ,0.28 ,0.24
7,0.26 ,0.24 ,0.28 ,0.28 ,0.30 ,0.38 ,0.34 ,0.26 ,0.32 ,0.42 ,0.57 ,0.55 ,0.50 ,0.40 ,0.30 ,0.32
8,0.14 ,0.14 ,0.22 ,0.28 ,0.30 ,0.24 ,0.22 ,0.30 ,0.28 ,0.20 ,0.36 ,0.42 ,0.38 ,0.44 ,0.36 ,0.32
9,0.12 ,0.14 ,0.26 ,0.28 ,0.30 ,0.30 ,0.20 ,0.18 ,0.24 ,0.18 ,0.30 ,0.38 ,0.30 ,0.30 ,0.26 ,0.24
10,0.10 ,0.14 ,0.26 ,0.32 ,0.36 ,0.36 ,0.30 ,0.24 ,0.30 ,0.26 ,0.34 ,0.32 ,0.24 ,0.18 ,0.18 ,0.16
11,0.55 ,0.46 ,0.50 ,0.46 ,0.36 ,0.20 ,0.20 ,0.30 ,0.48 ,0.34 ,0.52 ,0.48 ,0.24 ,0.16 ,0.10 ,0.20
12,0.30 ,0.42 ,0.36 ,0.65 ,0.57 ,0.26 ,0.22 ,0.14 ,0.16 ,0.16 ,0.22 ,0.32 ,0.36 ,0.38 ,0.32 ,0.24
13,0.59 ,0.73 ,0.67 ,0.97 ,0.81 ,0.42 ,0.40 ,0.22 ,0.59 ,0.73 ,0.71 ,0.50 ,0.40 ,0.26 ,0.32 ,0.55
14,0.46 ,0.59 ,0.69 ,1.03 ,1.03 ,0.54 ,0.42 ,0.38 ,0.69 ,1.17 ,1.27 ,1.03 ,0.73 ,0.50 ,0.40 ,0.42
15,0.40 ,0.52 ,0.73 ,0.79 ,0.87 ,0.91 ,0.85 ,0.75 ,0.55 ,0.67 ,1.11 ,1.01 ,0.83 ,0.69 ,0.57 ,0.50
16,0.38 ,0.52 ,0.44 ,0.34 ,0.46 ,0.57 ,0.57 ,0.55 ,0.54 ,0.40 ,0.59 ,0.63 ,0.54 ,0.46 ,0.36 ,0.34
17,0.20 ,0.26 ,0.30 ,0.34 ,0.32 ,0.40 ,0.40 ,0.48 ,0.42 ,0.32 ,0.36 ,0.67 ,0.63 ,0.52 ,0.30 ,0.22
18,0.28 ,0.20 ,0.24 ,0.22 ,0.20 ,0.20 ,0.26 ,0.30 ,0.28 ,0.22 ,0.24 ,0.55 ,0.59 ,0.57 ,0.50 ,0.44
19,0.32 ,0.42 ,0.52 ,0.36 ,0.30 ,0.20 ,0.14 ,0.16 ,0.22 ,0.42 ,0.48 ,0.75 ,0.63 ,0.65 ,0.50 ,0.34
20,0.20 ,0.26 ,0.34 ,0.32 ,0.30 ,0.22 ,0.16 ,0.16 ,0.18 ,0.16 ,0.34 ,0.44 ,0.38 ,0.36 ,0.30 ,0.22
21,0.40 ,0.54 ,0.50 ,0.42 ,0.28 ,0.14 ,0.14 ,0.20 ,0.38 ,0.34 ,0.48 ,0.55 ,0.42 ,0.28 ,0.22 ,0.28
22,0.59 ,0.69 ,0.46 ,0.54 ,0.34 ,0.40 ,0.38 ,0.44 ,0.42 ,0.30 ,0.38 ,0.32 ,0.26 ,0.26 ,0.36 ,0.40
23,0.54 ,0.50 ,0.38 ,0.42 ,0.32 ,0.32 ,0.24 ,0.18 ,0.40 ,0.55 ,0.65 ,0.52 ,0.36 ,0.24 ,0.34 ,0.59
24,0.46 ,0.54 ,0.65 ,0.73 ,0.83 ,0.81 ,0.77 ,0.73 ,0.81 ,0.63 ,0.67 ,0.91 ,0.75 ,0.71 ,0.65 ,0.59
25,0.52 ,0.50 ,0.52 ,0.57 ,0.63 ,0.61 ,0.61 ,0.63 ,0.77 ,0.57 ,0.44 ,0.61 ,0.79 ,0.79 ,0.75 ,0.69
26,0.55 ,0.50 ,0.50 ,0.50 ,0.46 ,0.42 ,0.50 ,0.61 ,0.85 ,0.61 ,0.28 ,0.48 ,0.34 ,0.63 ,0.87 ,0.69
27,0.48 ,0.28 ,0.46 ,0.55 ,0.54 ,0.48 ,0.48 ,0.55 ,0.75 ,0.85 ,0.85 ,0.61 ,0.81 ,0.77 ,0.69 ,0.55
28,0.71 ,0.61 ,0.79 ,0.61 ,0.46 ,0.28 ,0.40 ,0.65 ,0.83 ,0.91 ,1.07 ,0.93 ,0.55 ,0.63 ,0.89 ,0.77
29,0.61 ,0.38 ,0.65 ,0.63 ,0.48 ,0.26 ,0.30 ,0.44 ,0.52 ,0.55 ,0.67 ,0.71 ,0.73 ,0.95 ,0.91 ,0.65
30,0.69 ,0.67 ,0.69 ,0.63 ,0.48 ,0.28 ,0.34 ,0.52 ,0.69 ,0.77 ,1.01 ,1.05 ,0.87 ,0.54 ,0.54 ,0.67
31,0.44 ,0.40 ,0.34 ,0.22 ,0.24 ,0.30 ,0.44 ,0.46 ,0.55 ,0.40 ,0.24 ,0.36 ,0.65 ,0.71 ,0.63 ,0.48
32,0.54 ,0.38 ,0.22 ,0.18 ,0.26 ,0.46 ,0.46 ,0.46 ,0.67 ,0.40 ,0.20 ,0.20 ,0.20 ,0.38 ,0.38 ,0.42
33,0.52 ,0.32 ,0.22 ,0.20 ,0.34 ,0.50 ,0.50 ,0.52 ,0.65 ,0.61 ,0.22 ,0.18 ,0.22 ,0.46 ,0.52 ,0.50
34,0.32 ,0.38 ,0.32 ,0.36 ,0.42 ,0.36 ,0.30 ,0.22 ,0.22 ,0.20 ,0.28 ,0.28 ,0.24 ,0.26 ,0.34 ,0.42
35,0.50 ,0.36 ,0.50 ,0.61 ,0.50 ,0.54 ,0.42 ,0.30 ,0.22 ,0.22 ,0.30 ,0.30 ,0.28 ,0.32 ,0.48 ,0.46
36,0.32 ,0.69 ,0.87 ,0.93 ,0.89 ,0.89 ,0.79 ,0.59 ,0.36 ,0.42 ,0.54 ,0.52 ,0.48 ,0.38 ,0.34 ,0.30
37,0.48 ,0.69 ,0.85 ,0.93 ,0.73 ,0.59 ,0.57 ,0.57 ,0.54 ,0.54 ,0.95 ,1.05 ,1.17 ,1.07 ,0.69 ,0.38
38,0.61 ,0.50 ,0.63 ,0.50 ,0.44 ,0.28 ,0.28 ,0.38 ,0.55 ,0.63 ,0.83 ,0.93 ,0.93 ,0.89 ,0.87 ,0.67
39,0.26 ,0.28 ,0.32 ,0.22 ,0.22 ,0.24 ,0.22 ,0.24 ,0.30 ,0.34 ,0.34 ,0.57 ,0.54 ,0.50 ,0.30 ,0.24
40,0.38 ,0.52 ,0.46 ,0.32 ,0.20 ,0.30 ,0.32 ,0.40 ,0.40 ,0.46 ,0.32 ,0.44 ,0.44 ,0.24 ,0.20 ,0.22
41,0.46 ,0.40 ,0.44 ,0.36 ,0.28 ,0.26 ,0.32 ,0.36 ,0.67 ,0.54 ,0.54 ,0.46 ,0.34 ,0.32 ,0.32 ,0.30
42,0.44 ,0.48 ,0.54 ,0.50 ,0.59 ,0.50 ,0.44 ,0.32 ,0.38 ,0.50 ,0.57 ,0.48 ,0.22 ,0.26 ,0.32 ,0.28
43,0.30 ,0.40 ,0.46 ,0.46 ,0.52 ,0.52 ,0.38 ,0.28 ,0.36 ,0.44 ,0.34 ,0.38 ,0.24 ,0.30 ,0.30 ,0.24
44,0.46 ,0.34 ,0.32 ,0.36 ,0.48 ,0.48 ,0.40 ,0.46 ,0.55 ,0.65 ,0.54 ,0.28 ,0.26 ,0.36 ,0.44 ,0.42
45,0.20 ,0.18 ,0.16 ,0.18 ,0.18 ,0.20 ,0.26 ,0.28 ,0.28 ,0.30 ,0.24 ,0.20 ,0.22 ,0.32 ,0.32 ,0.22
46,0.18 ,0.26 ,0.16 ,0.24 ,0.16 ,0.16 ,0.18 ,0.18 ,0.24 ,0.22 ,0.38 ,0.32 ,0.22 ,0.24 ,0.30 ,0.20
47,0.20 ,0.30 ,0.20 ,0.36 ,0.44 ,0.54 ,0.36 ,0.22 ,0.20 ,0.20 ,0.14 ,0.16 ,0.16 ,0.24 ,0.34 ,0.28
48,0.36 ,0.48 ,0.34 ,0.36 ,0.32 ,0.38 ,0.38 ,0.28 ,0.26 ,0.26 ,0.34 ,0.32 ,0.34 ,0.42 ,0.44 ,0.36
49,0.30 ,0.65 ,0.24 ,0.30 ,0.34 ,0.38 ,0.30 ,0.18 ,0.28 ,0.18 ,0.40 ,0.48 ,0.46 ,0.48 ,0.42 ,0.22
50,0.26 ,0.46 ,0.36 ,0.40 ,0.34 ,0.20 ,0.18 ,0.16 ,0.14 ,0.20 ,0.38 ,0.44 ,0.44 ,0.28 ,0.24 ,0.18
51,0.69 ,0.69 ,0.65 ,0.52 ,0.46 ,0.24 ,0.20 ,0.30 ,0.32 ,0.44 ,0.42 ,0.46 ,0.52 ,0.61 ,0.77 ,0.69
52,0.63 ,0.71 ,0.36 ,0.36 ,0.38 ,0.28 ,0.18 ,0.20 ,0.16 ,0.30 ,0.32 ,0.38 ,0.40 ,0.40 ,0.42 ,0.50
53,0.57 ,0.65 ,0.42 ,0.50 ,0.44 ,0.32 ,0.32 ,0.30 ,0.18 ,0.32 ,0.32 ,0.30 ,0.28 ,0.28 ,0.28 ,0.44
54,0.59 ,0.69 ,0.48 ,0.50 ,0.42 ,0.22 ,0.14 ,0.22 ,0.24 ,0.46 ,0.40 ,0.38 ,0.50 ,0.38 ,0.42 ,0.55
55,0.38 ,0.38 ,0.24 ,0.30 ,0.20 ,0.22 ,0.28 ,0.40 ,0.24 ,0.26 ,0.30 ,0.42 ,0.36 ,0.44 ,0.28 ,0.42
56,0.67 ,0.65 ,0.65 ,0.38 ,0.26 ,0.34 ,0.48 ,0.54 ,0.91 ,0.79 ,0.79 ,0.65 ,0.46 ,0.36 ,0.38 ,0.40
57,0.34 ,0.38 ,0.50 ,0.59 ,0.71 ,0.73 ,0.63 ,0.57 ,0.48 ,0.54 ,0.38 ,0.34 ,0.30 ,0.55 ,0.54 ,0.40
58,0.85 ,0.65 ,0.61 ,0.36 ,0.54 ,0.63 ,0.61 ,0.61 ,0.89 ,0.75 ,0.63 ,0.40 ,0.34 ,0.46 ,0.77 ,0.67
59,0.42 ,0.38 ,0.36 ,0.36 ,0.52 ,0.50 ,0.46 ,0.32 ,0.30 ,0.34 ,0.46 ,0.57 ,0.44 ,0.24 ,0.50 ,0.44
60,0.73 ,0.69 ,0.73 ,0.54 ,0.42 ,0.26 ,0.26 ,0.44 ,0.75 ,0.77 ,0.73 ,0.46 ,0.20 ,0.32 ,0.38 ,0.59
